"","WKT","id","codigo","nomoficial","alt_izqini","alt_izqfin","alt_derini","alt_derfin","nomanter","nom_mapa","tipo_c","long","sentido","cod_sent","observa","bicisenda","lado_ciclo","recorrid_x","ciclo_obse","tooltip_bi","red_jerarq","red_tp","ffcc","tipo_ffcc","comuna","com_par","com_impar","barrio","barrio_par","barrio_imp"
"938","LINESTRING (-58.3716039078395 -34.6184813151805,-58.372896882206 -34.6185056607698,-58.3730232125925 -34.6185027261175)",14032,5087,"ESTADOS UNIDOS",402,500,401,499,"","ESTADOS UNIDOS","CALLE",130.21,"DECRECIENTE",-1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN TELMO","SAN TELMO","SAN TELMO"
"939","LINESTRING (-58.3806875154887 -34.6176451184436,-58.3806452514266 -34.6185179877871)",14035,14029,"9 DE JULIO AV.",0,0,0,0,"","AV. 9 DE JULIO","AVENIDA",96.91,"DECRECIENTE",-1,"","-","","","","","VÍA DISTRIBUIDORA PRINCIPAL","","","",1,1,1,"CONSTITUCION","CONSTITUCION","CONSTITUCION"
"940","LINESTRING (-58.3730232125925 -34.6185027261175,-58.3731455391945 -34.6184999292223,-58.374280512992 -34.6185109741056,-58.3743652650842 -34.6185161768286)",14039,5087,"ESTADOS UNIDOS",502,600,501,599,"","ESTADOS UNIDOS","CALLE",123.12,"DECRECIENTE",-1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN TELMO","SAN TELMO","SAN TELMO"
"941","LINESTRING (-58.3787315983354 -34.6185220987903,-58.3789664545569 -34.6185170500436,-58.3798393471254 -34.6185005374745)",14044,5087,"ESTADOS UNIDOS",902,980,901,979,"","ESTADOS UNIDOS","CALLE",101.62,"DECRECIENTE",-1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"CONSTITUCION","CONSTITUCION","CONSTITUCION"
"942","LINESTRING (-58.3815148801551 -34.6176601127196,-58.3815045274621 -34.617880249322,-58.381474700075 -34.6184146724563,-58.3814710899909 -34.6185344602215)",14052,12112,"LIMA",802,900,801,899,"","LIMA","CALLE",97.08,"CRECIENTE",1,"","Ciclovías Proyectadas","","","","Ciclovía proyectada","VÍA DISTRIBUIDORA PRINCIPAL","","","",1,1,1,"CONSTITUCION","CONSTITUCION","CONSTITUCION"
"943","LINESTRING (-58.3743652650842 -34.6185161768286,-58.3744924357969 -34.6185240160453,-58.3758537381649 -34.6185395770953)",14053,5087,"ESTADOS UNIDOS",602,700,601,699,"","ESTADOS UNIDOS","CALLE",136.56,"DECRECIENTE",-1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN TELMO","SAN TELMO","SAN TELMO"
"944","LINESTRING (-58.3759152922577 -34.6173524940719,-58.3759044487885 -34.6175391787337,-58.375865545225 -34.6184090205997,-58.3758537381649 -34.6185395770953)",14054,3214,"CHACABUCO",802,900,801,899,"","CHACABUCO","CALLE",131.82,"CRECIENTE",1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN TELMO","SAN TELMO","SAN TELMO"
"945","LINESTRING (-58.3829813507204 -34.6185804644668,-58.3831508567095 -34.6185902943791,-58.3840266948136 -34.6186115007205,-58.3842965499077 -34.6186186476972)",14070,5087,"ESTADOS UNIDOS",1202,1300,1201,1299,"","ESTADOS UNIDOS","CALLE",120.71,"DECRECIENTE",-1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"CONSTITUCION","CONSTITUCION","CONSTITUCION"
"946","LINESTRING (-58.3842965499077 -34.6186186476972,-58.384464272404 -34.6186230520284,-58.3856610588178 -34.6186706511256,-58.3858677878397 -34.6186834587295)",14085,5087,"ESTADOS UNIDOS",1302,1400,1301,1399,"","ESTADOS UNIDOS","CALLE",144.29,"DECRECIENTE",-1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"CONSTITUCION","CONSTITUCION","CONSTITUCION"
"947","LINESTRING (-58.3858677878397 -34.6186834587295,-58.3861189803442 -34.6186989702111,-58.3871459757174 -34.6187703911528,-58.387422382363 -34.618786760769)",14110,5087,"ESTADOS UNIDOS",1402,1500,1401,1499,"","ESTADOS UNIDOS","CALLE",143.04,"DECRECIENTE",-1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"CONSTITUCION","CONSTITUCION","CONSTITUCION"
"948","LINESTRING (-58.390329218823 -34.6180795114211,-58.3903152840301 -34.6183311963116,-58.3902768914926 -34.6189832939583)",14162,20106,"SOLIS",802,900,801,899,"","SOLIS","CALLE",100.38,"CRECIENTE",1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"CONSTITUCION","CONSTITUCION","CONSTITUCION"
"949","LINESTRING (-58.3687726577932 -34.6183356313338,-58.368790731042 -34.6184732526261,-58.3687087869032 -34.6190024145995,-58.3687028498966 -34.6192970329386)",14209,17028,"PASEO COLON AV.",0,0,0,0,"","AV. PASEO COLON","AVENIDA",107.23,"DECRECIENTE",-1,"","-","","","","","VÍA DISTRIBUIDORA PRINCIPAL","","","",1,1,1,"SAN TELMO","SAN TELMO","SAN TELMO"
"950","LINESTRING (-58.369302103368 -34.618383787489,-58.368964365 -34.6191996633131)",14217,17028,"PASEO COLON AV.",0,0,901,999,"","AV. PASEO COLON","AVENIDA",95.66,"CRECIENTE",1,"","-","","","","","VÍA DISTRIBUIDORA PRINCIPAL","","","",1,1,1,"SAN TELMO","SAN TELMO","SAN TELMO"
"951","LINESTRING (-58.3672880731436 -34.618195315339,-58.367271810502 -34.6183368535384,-58.3671612298644 -34.6193081864964)",14251,1149,"AZOPARDO",902,1000,901,999,"","AZOPARDO","CALLE",124,"DECRECIENTE",-1,"","Ciclovías","Mano izquierda","Calle","Construcción Año 2010","Ciclovía","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN TELMO","SAN TELMO","SAN TELMO"
